"Year Code #
(based on 1st yr)","Model #
(randon)",Make,Model,1st Year of Production,Last Year of Production,Total # of Base Model Built,Highlights,
9,,Audi,"Rekordwagen Avus
(Type B)",1935,1935,4,"The Auto Union Grand Prix racing cars types A to D were developed and built by a specialist racing department of Auto Union's Horch works in Zwickau, Germany, between 1933 and 1939, after the company bought a design by Dr. Ferdinand Porsche in 1933. The Auto Union type B streamlined body was designed by Paul Jaray.

Of the 4 Auto Union racing cars, the Types A, B and C, used from 1934 to 1937 had supercharged V16 engines, and the final car, the Type D used in 1938 and 1939 (built to new 1938 regulations), had a supercharged 3L V12 that developed almost 550 horsepower. All of the designs were difficult to handle due to extreme power/weight ratios (wheelspin could be induced at over 100 mph (160 km/h)), and marked oversteer due to uneven weight distribution (all models were tail heavy). The Type D was easier to drive because of its smaller, lower mass engine that was better positioned toward the vehicle's center of mass.

Between 1935 and 1937, Auto Unions won 25 races, driven by Ernst von Delius, Tazio Nuvolari, Bernd Rosemeyer, Hans Stuck and Achille Varzi. Auto Union proved particularly successful in the 1936 and 1937 seasons. Their main competition came from the Mercedes Benz team, which also raced sleek, silver cars. Known as the Silver Arrows, the cars of the two German teams dominated Grand Prix racing until the outbreak of World War II in 1939.

In 1932 Auto Union Gmbh was formed, comprising struggling auto manufacturers Audi, DKW, Horch and Wanderer. The chairman of the board of Directors, Baron Klaus von Oertzen wanted a show piece project, so at fellow director Adolf Rosenberger's insistence, von Oertzen met with Porsche, who had done work for him before.[2]

The rear mid-engine, rear-wheel-drive layout was unusual at the time. From front to rear the layout comprised radiator, driver, fuel tank, and engine. The layout would return to Grand Prix racing in the late 1950s by British manufacturer Cooper Car Company.

The problem with early mid-engined design was the stiffness of the contemporary ladder chassis and suspension. The car's turning angle changed as the momentum of the centrally mounted engine increased on the chassis, causing oversteer. All Auto Unions had independent suspension, with parallel trailing arms and torsion bars at the front. At the rear, Porsche tried to counter the tendency to oversteer by using a then-advanced swing axle suspension on the early cars. On the later Type D, rear suspension was a de Dion system, following the lead of Mercedes-Benz, but the supercharged engines eventually produced almost 550 horsepower, which exacerbated the oversteer.

The original Porsche-designed V16 was modified as a V12 when in 1938 the Grand Prix regulations set a limit of 3 litres on supercharged engines. Originally designed as a 6-litre, the first Auto Union engines displaced 4,360 cc and developed 295 PS (217 kW). They had two cylinder blocks, inclined at an angle of 45 degrees, with a single overhead camshaft to operate all 32 valves. The intake valves in the hemispherical cylinder heads were connected to the camshaft by rocker arms, while for the exhaust valves the rocker arms were connected to the camshaft by pushrods that passed through tubes situated above the spark plugs; thus the engine had three valve covers. The engine provided optimum torque at low engine speeds, and Bernd Rosemeyer later drove an Auto Union around the Nürburgring in a single gear to prove the engine's flexibility.

The body underwent wind-tunnel testing at the German Institute for Aerodynamics, a scientific organization that still exists. With the fuel tank located in the centre of the car directly behind the driver, the front-rear weight distribution remained unchanged as the fuel was used; the same location is used in modern open-wheel racing cars for the same reason. The chassis tubes originally piped coolant from the radiator to the engine, but this was eventually abandoned owing to leaks.

The development of Auto Union racing cars began 1933 by specialists of Horch works. The first cars ran in the winter 1933/34, on the Nürburgring, AVUS and Monza. Further development was stopped completely in 1942.

Unlike Mercedes, who had former racing driver turned designer Rudolf Uhlenhaut, who could provide excellent feedback on the car and required developments; Auto Union were forced to create in-car measuring systems to provide additional feedback. Auto Union used a clockwork mechanism and a paper disc to record data such as engine revs while the car was being tested, allowing the engineers to study the collected data at a later date.[3] It was found that additional work was needed on the car's cornering behaviour, as accelerating out of a corner would cause the inside rear wheel to spin furiously. This was much abated by the use of a Porsche innovation, limited slip differential, manufactured by ZF, which was introduced at the end of the 1935 season.

Co-operation between Porsche and Auto Union continued through the Types A, B and C, until the 750 kg (1,650 lb) formula ended in 1937, as engineering developments had resulted in engines producing great horsepower in lightweight vehicles, and hence high speeds and excessive accidents. Dr. Ing. Robert Eberan von Eberhorst was responsible for the new Type D car,[citation needed] which while still retaining the 750 kg (1,650 lb) minimum weight, also restricted capacity to 3 litres with a supercharger, or 4.5 litres without. The Type D employed a 12-cylinder engine, while the hillclimb versions, where the capacity limit was not enforced, used a different gearbox and final drive to retain the 16-cylinder engine of the Type C.",
9,,Lagonda,Drophead Coupe,1935,1950,unknown,"The Lagonda Drophead Coupe is a classic luxury car produced by Lagonda, a British automotive manufacturer. Lagonda is a British luxury car brand established in 1906, which has been owned by Aston Martin since 1947. The trade-name has not had a continuous commercial existence, being dormant several times, most recently from 1995 to 2008, 2010 to 2013, and 2016 onward.

The Lagonda Drophead Coupe was introduced in the 1930s as part of Lagonda's lineup of high-end automobiles. It was designed to cater to affluent customers who desired a combination of luxury, performance, and style.

The Lagonda Drophead Coupe featured elegant, coachbuilt bodywork, typically with two doors and a convertible roof. It was known for its graceful lines, luxurious appointments, and attention to detail. The interior was often lavishly appointed with fine materials, including leather upholstery, wood trim, and bespoke fittings.

Lagonda was renowned for its engineering excellence, and the Drophead Coupe was no exception. It was powered by a range of inline-six and later V12 engines, offering smooth and refined performance suitable for grand touring. The car's chassis and suspension were designed to provide a comfortable ride and confident handling on the road.

Many Lagonda Drophead Coupes were available with custom coachwork from prestigious coachbuilders such as Tickford, Abbott, and Freestone & Webb. These custom-bodied Lagondas featured unique designs tailored to the preferences of individual customers, adding to the exclusivity and luxury of the vehicle.

The Lagonda Drophead Coupe was produced over several decades, with various model revisions and updates reflecting changes in automotive design and technology. While precise production numbers for individual model years may vary, the Lagonda Drophead Coupe remains a cherished classic car among collectors and enthusiasts, admired for its timeless design, craftsmanship, and historical significance.

In summary, the Lagonda Drophead Coupe represents a bygone era of British luxury automobiles, epitomizing elegance, sophistication, and prestige. Its graceful styling, exceptional craftsmanship, and refined performance have cemented its place in automotive history as one of Lagonda's most iconic and enduring models.",
9,,Alfa Romeo,8C 2900 B ('Berlinetta') Lungo ('Long Version'),1935,1939,<50,"The Alfa Romeo 8C 2900 was an iconic automobile produced by the Italian manufacturer Alfa Romeo in the 1930s. The ""B"" in the designation stands for ""Berlinetta,"" indicating its body style. The ""Lungo"" refers to the ""long"" version of the car.

The 8C 2900 was introduced in 1935 as a successor to the highly successful Alfa Romeo 8C 2300. It was designed to compete in Grand Prix racing as well as endurance racing events like the prestigious 24 Hours of Le Mans.

One of the most remarkable features of the 8C 2900 was its advanced engine technology for the time. It was powered by a 2.9-liter straight-eight engine with dual superchargers, hence the ""8C"" designation. This engine was capable of producing around 180 to 220 horsepower, depending on the configuration, making it one of the most powerful engines of its era.

The 8C 2900 achieved significant success in motorsport. It won numerous races, including the 1936 and 1937 editions of the prestigious Mille Miglia, an endurance race covering 1,000 miles through Italy. It also performed well in events like the Targa Florio and Le Mans.

While the 8C 2900 was primarily designed for racing, Alfa Romeo also produced a limited number of road-going versions for wealthy customers who desired high-performance sports cars. These road cars featured luxurious coachwork from renowned Italian carrozzerias such as Touring, Zagato, and Pinin Farina.

The 8C 2900 is considered one of the most desirable and valuable classic cars today due to its racing pedigree, advanced engineering, and stunning design. It represents a pinnacle of pre-war automotive technology and craftsmanship.

Only a few dozen examples of the 8C 2900 were produced, including both racing and road car variants. This exclusivity further adds to its allure among collectors and enthusiasts.

Overall, the Alfa Romeo 8C 2900 B Lungo stands as a testament to the ingenuity and engineering prowess of Alfa Romeo during the 1930s, and it remains an icon of automotive history.",
9,,BMW,328,1936,1940,464,"The BMW 328 was a sports car offered by BMW from 1936 to 1940, with the body design credited to Peter Szymanowski, who became BMW chief of design after World War II (although technically the car was designed by Fritz Fiedler).

In 1999 the BMW 328 was named one of 25 finalists for Car of the Century by a worldwide panel of automotive journalists.

One of the Mille Miglia 328s (disguised as a Frazer Nash) and BMW's technical plans for the car were taken from the bombed BMW factory by English representatives from the Bristol Aeroplane Company and Frazer Nash companies. Fiedler, the BMW engineer, was persuaded to come, too. Bristol Cars was set up to build complete cars, called Bristols, and would also supply engines to Frazer Nash for all their post-war cars. The first Bristol car, the 400, was heavily based on the BMW plans. This Bristol engine was also an option in AC cars, before the Cobra.",
9,,Jaguar Cars Ltd.,SS100,1936,1939,198,"The SS Jaguar 100 is a British 2-seat sports car built between 1936 and 1939 by SS Cars Ltd of Coventry, England. The manufacturer's name 'SS Cars' used from 1934 maintained a link to the previous owner, Swallow Sidecar, founded in 1922 by Walmsley and Lyons to build motorcycle sidecars. In March 1945 the S. S. Cars shareholders agreed to change the name to Jaguar Cars Limited.[5]

In common with many products of the thirties, the adoption of an animal name was deemed appropriate[citation needed] and the model name ""Jaguar"" was given to a new SS saloon car in 1935, and then to all new SS models. The '100' was for the theoretical 100 mph maximum speed of the vehicle.

It was on an SS100 that the famous Jaguar 'leaper', the marque's signature feline bonnet mascot, was first displayed. In mid 1936 the first version of the Jaguar mascot was reputedly described by Sir William Lyons, founder of the company, as ""looking like a cat shot off a fence"". A later publicity photograph of the new Model 100 ""Jaguar"" (registration mark CKV 250) parked outside the offices of SS Cars Ltd in early 1937 shows a revised Jaguar 'leaper' mounted on the radiator cap. It is this more stylised 'leaper' that became the trade mark for Jaguar Cars, Ltd., remaining in use to this day.",
9,,Rolls Royce,Phantom III,1936,1939,727,"The Rolls-Royce Phantom III is a luxury car produced by Rolls-Royce Limited from 1936 to 1939.

The Rolls-Royce Phantom III was introduced as the successor to the Phantom II, debuting in 1936 at the London Motor Show. It was Rolls-Royce's flagship model during the late 1930s and represented the pinnacle of luxury and engineering excellence of its time.

The Phantom III featured several technological advancements, most notably a new 7.3-liter V12 engine. This engine was the first V12 engine used in a Rolls-Royce car and was designed to provide smoother and quieter operation compared to the inline-six engines used in previous models. The engine also featured overhead valves and a dual-ignition system, further enhancing performance and reliability.

Like its predecessors, the Phantom III was built on a separate chassis, which was manufactured by Rolls-Royce at their factory in Derby, England. Customers could then choose from various body styles offered by custom coachbuilders or opt for a standard factory body.

The design of the Rolls-Royce Phantom III was characterized by its elegant and imposing presence. It featured a long hood, a tall radiator grille adorned with the iconic Spirit of Ecstasy mascot, and luxurious interior appointments. The car exuded an aura of prestige and sophistication, making it highly desirable among the wealthy elite of the time.

The Phantom III was well-received by customers and critics, although its production was relatively short due to the outbreak of World War II. It was favored by royalty, aristocrats, and celebrities, with many notable individuals owning or being chauffeured in a Phantom III.

The outbreak of World War II in 1939 halted production, and Rolls-Royce shifted its focus to manufacturing engines for military aircraft.",
9,,Auburn Automobile Company,Cord Model 812,1936,1937,"1,174","The Cord Model 812, produced by the Auburn Automobile Company, is a classic automobile that represents a pinnacle of American automotive design and engineering.

The Cord 812 was introduced in 1936 as a successor to the Cord L-29, which was notable for being one of the first American cars to feature front-wheel drive (FWD). The Cord 812 aimed to build upon the success of its predecessor while incorporating advanced styling and engineering features.

The Cord 812 is renowned for its sleek, streamlined design, which was ahead of its time and influenced automotive styling for decades to come. Designed by Gordon Buehrig, the 812 featured several groundbreaking design elements, including hidden headlights (a first for a production car), a distinctive coffin-shaped grille, sweeping fenders, and a long hood. The car's Art Deco styling made it an instant icon of automotive design.

The Cord 812 continued the tradition of front-wheel drive that was established by its predecessor. This layout allowed for a lower floor and a more spacious interior compared to rear-wheel-drive cars of the era. The 812 was powered by a Lycoming V8 engine with a displacement of 4.7 liters (289 cubic inches). The naturally aspirated version produced around 125 horsepower, while a supercharged variant, known as the 812 SC, was also available, boosting horsepower to 170. The car featured a four-speed pre-selector gearbox, known as the ""Electric Hand,"" which allowed for smooth gear changes without the need for clutching.

Production of the Cord 812 began in 1936 and lasted until 1937. However, the production run was relatively short-lived due to financial difficulties faced by the Auburn Automobile Company. Total production numbers for the Cord 812 amounted to approximately 1,174 units, making it a rare and sought-after collector's car today.",
9,,Mercedes Benz,540K,1936,1940,419,"The 540K was introduced in 1936 as the successor to the Mercedes-Benz 500K. It was designed as a flagship model, intended for the wealthiest and most discerning clientele of the time.

The 540K was designed by Friedrich Geiger, featuring a long hood, sweeping fenders, and a distinctive grille adorned with the Mercedes-Benz emblem. It was available in various body styles, including coupe, cabriolet, roadster, and special custom coachwork commissioned by wealthy clients.

At the heart of the 540K was a supercharged 5.4-liter inline-eight engine, which produced around 180 horsepower in standard form and up to 220 horsepower with the supercharger engaged. This powerplant provided impressive performance for its time, allowing the 540K to reach top speeds of over 100 mph (160 km/h).

The 540K was renowned for its luxurious interior appointments and advanced features, including adjustable suspension settings and power-assisted brakes. Customers could also opt for custom coachwork from prestigious coachbuilders like Sindelfingen, Erdmann & Rossi, and Saoutchik, resulting in unique and extravagant designs tailored to individual tastes.

Production of the 540K was limited due to its high cost and the onset of World War II, which disrupted manufacturing. From 1936 to 1940, Mercedes-Benz produced around 419 units of the 540K in various body styles, making it a rare and highly sought-after collector's car today.

The Mercedes-Benz 540K is celebrated for its combination of performance, luxury, and elegance, representing the pinnacle of pre-war automotive engineering and design. It has become an enduring symbol of automotive excellence and remains highly coveted by collectors and enthusiasts worldwide.

In summary, the Mercedes-Benz 540K stands as a testament to the craftsmanship and engineering prowess of Mercedes-Benz during the 1930s, embodying luxury, performance, and exclusivity in equal measure.",Silver YesterYear model with openable rumble-seat
9,,Talbot-Lago,T23,1936,1942,unknown,"The Talbot T23 was a significant model produced by Talbot-Lago, a French automobile manufacturer, in the late 1930s and early 1940s.

The Talbot T23 was introduced in 1936 as a successor to the Talbot T150. It was designed to compete in the luxury car market, offering a blend of performance, style, and comfort.

The Talbot T23 featured a robust chassis with independent front suspension and a live rear axle. It was powered by a range of inline-six engines, including a 3.0-liter, 3.5-liter, and 4.0-liter, which provided varying levels of performance. The car's design was elegant and aerodynamic, with flowing lines and distinctive styling cues.

The Talbot T23 enjoyed success in motorsport, particularly in endurance racing events such as the 24 Hours of Le Mans. Notable victories include wins at Le Mans in 1937 and 1939, solidifying Talbot's reputation for performance and reliability on the racetrack.

Like many luxury cars of the era, the Talbot T23 was often fitted with custom coachwork from renowned coachbuilders such as Figoni & Falaschi, Saoutchik, and Chapron. These coachbuilt bodies added a touch of exclusivity and elegance to the car, catering to the tastes of wealthy clientele.

Production of the Talbot T23 continued after World War II, with updated models introduced in the late 1940s. However, the automotive industry was evolving rapidly, and Talbot faced increasing competition from other manufacturers. The T23's production eventually ceased in the early 1950s. As for the company itself, in the early summer of 1958, Tony Lago decided to accept an offer from Simca president, Henri Pigozzi, for the sale of the Talbot brand to Simca.[16] The sale of the business went ahead in 1959.

The Talbot T23 is remembered as one of the finest examples of French automotive engineering and design from the pre-war and post-war eras. Its combination of performance, luxury, and style has made it a highly coveted collector's car today, with well-preserved examples commanding significant prices at auctions and car shows.

Overall, the Talbot T23 represents a golden age of automotive craftsmanship and innovation, embodying the spirit of French luxury and elegance in a truly remarkable package.",
9,,Hispano-Suiza,Portout,1936,unknown,unknown,"(Hispano-Suiza was a Spanish-Swiss automotive and engineering company that was active from the early 20th century until the mid-20th century. The company produced luxury automobiles, aircraft engines, and other mechanical components. Hispano-Suiza cars were manufactured from the early 1900s to the mid-1950s, with various models produced over this period.)

The 1936 Hispano-Suiza Pourtout is a special and highly sought-after automobile, representing a collaboration between the prestigious Spanish-Swiss manufacturer Hispano-Suiza and the French coachbuilder Pourtout.

In the mid-1930s, Hispano-Suiza partnered with Marcel Pourtout, a renowned French coachbuilder, to create a series of custom-bodied luxury automobiles. This collaboration resulted in the creation of a limited number of bespoke cars based on Hispano-Suiza's chassis and drivetrain.

The 1936 Hispano-Suiza Pourtout featured a custom body designed by Pourtout, reflecting the elegant and aerodynamic styling trends of the era. The bodywork was crafted from lightweight materials, such as aluminum, to enhance performance and handling.

The Hispano-Suiza Pourtout was tailored to the preferences of individual customers, offering a high degree of customization and luxury. The interior featured sumptuous materials, fine craftsmanship, and advanced amenities, catering to affluent clientele seeking the utmost in comfort and refinement.

Underneath its stylish exterior, the Hispano-Suiza Pourtout boasted advanced engineering and performance capabilities characteristic of Hispano-Suiza automobiles. It was powered by a potent inline-six engine, delivering smooth and powerful performance suitable for grand touring.

Due to its limited production and bespoke nature, the 1936 Hispano-Suiza Pourtout is exceedingly rare and highly coveted among collectors and automotive enthusiasts. Each example is considered a unique piece of automotive history, representing the pinnacle of luxury and craftsmanship of its time.

The collaboration between Hispano-Suiza and Pourtout resulted in the creation of some of the most iconic and desirable automobiles of the pre-war era. The 1936 Hispano-Suiza Pourtout exemplifies the fusion of engineering excellence, artistic design, and luxury craftsmanship, leaving behind a lasting legacy in the annals of automotive history.

Overall, the 1936 Hispano-Suiza Pourtout stands as a testament to the ingenuity and creativity of its creators and remains a symbol of automotive elegance and sophistication nearly a century after its creation.",red coupe YesterYear model (plastic bumpers and plastic headlights. On bottom it says 1938
9,,Mercedes Benz,W125,1937,1937,5,"The Mercedes-Benz W125 was a Grand Prix racing car produced by German auto manufacturer Mercedes-Benz to race during the 1937 Grand Prix season. Designed by head designer Rudolf Uhlenhaut, the car was used by Rudolf Caracciola to win the 1937 European Championship and W125 drivers also finished in the second, third and fourth positions in the championship.[1]

The W125 was powered by a supercharged double overhead camshaft 5,663 cc (345.6 cu in) capacity 94 mm × 102 mm (3.70 in × 4.02 in) inline 8 which produced 595 horse power (444 kW) in race trim. Its highest test bed power measured was 637 BHP (646 PS) at 5,800 rpm, with 245 BHP (248 PS) developed at a mere 2,000 rpm. In 1938, the engine capacity of supercharged Grand Prix cars was limited to 3000cc, and the W125 was replaced by the Mercedes-Benz W154.

The W125 was considered the most powerful road racing car ever for three decades until large capacity American-built V8 engines in CanAm sportcars reached similar power in the late 1960s. In Grand Prix racing itself, the figure was not exceeded until the early 1980s (when Grand Prix racing had become known as Formula One), with the appearance of turbo-charged engines.[2]

The W125 reached race speeds of well over 300 km/h (190 mph) in 1937, especially on the AVUS in Berlin, equipped with a streamlined body.

In land speed record runs, a Mercedes-Benz W125 Rekordwagen was clocked at 432.7 km/h (268.9 mph) over a mile and a kilometre. This car was fitted with a DAB V12 engine (82 x 88 mm) of 5,576.75 cc (5.6L, 340.31 CID) with a power of 726 hp (736 PS) at 5,800 rpm. The weight of this engine caused the car to weigh over the 750 kg maximum limit, so it never appeared in Grand Prix.",Silver car with racing # 6
9,,Delage,D8-120,1937,1939,<300,"The Delage D8-120 was a prestigious luxury car produced by the French automobile manufacturer Delage during the 1930s.

The Delage D8-120 was introduced in 1936 as the successor to the Delage D8 model. It was designed to compete in the high-end luxury car market, offering advanced engineering, performance, and style.

The Delage D8-120 was powered by a 4.3-liter inline-eight engine, which was capable of producing around 120 horsepower. This engine was renowned for its smoothness, refinement, and performance, providing the car with impressive acceleration and top speed capabilities.

The Delage D8-120 was built on a separate chassis, which was constructed using high-quality materials and advanced engineering techniques. The chassis featured independent front suspension and a live rear axle with semi-elliptical leaf springs, providing a comfortable and stable ride.

The design of the Delage D8-120 was characterized by its elegant and stylish bodywork, which was typically crafted by renowned coachbuilders such as Figoni et Falaschi, Letourneur et Marchand, and Henri Chapron. The car exuded an aura of luxury and sophistication, with flowing lines, sleek curves, and luxurious interior appointments.

The outbreak of World War II and the economic challenges of the time led to declining sales, prompting Delage to shift its focus to other endeavors.",
9,,Fiat,"508 C
(a.k.a. 1100)",1937,1955,"300,000","The Fiat 508 C 1100, also known as the Fiat 1100, was a compact car produced by the Italian automaker Fiat from 1937 to 1955.

The Fiat 508 C 1100 was introduced in 1937 as an evolution of the Fiat 508 ""Balilla"" series. It was designed to replace the original Fiat 508 ""Balilla"" with improvements in engine performance and overall design.

(Factoid: The ""Balilla"" name was chosen to honor Italian nationalist youth organization Balilla, which played a role in the country's struggle for independence.)

The Fiat 508 C 1100 retained the basic design principles of its predecessor, featuring a compact and streamlined body. It was available in various body styles, including sedan (berlina), coupe, and convertible, offering options to cater to different customer needs.

The Fiat 508 C 1100 was powered by a four-cylinder inline engine with a displacement of 1089cc, producing around 32 horsepower. This engine provided improved performance over earlier versions of the Fiat 508, making it more suitable for everyday driving and long-distance travel.

The Fiat 508 C 1100 was popular among Italian motorists and gained recognition for its reliability, fuel efficiency, and affordability. It was produced in significant numbers during its production run, catering to a wide range of customers looking for a practical and economical means of transportation.

Over its production period, the Fiat 508 C 1100 underwent various updates and improvements to keep it competitive in the market. It remained in production until 1955 when it was eventually replaced by newer Fiat models. The Fiat 508 C 1100 left a lasting legacy as a versatile and reliable compact car that played a significant role in Fiat's history during the mid-20th century.

Overall, the Fiat 508 C 1100 was an important part of Fiat's lineup, offering an affordable and practical transportation solution for countless motorists in Italy and beyond. Its legacy continues to be appreciated by collectors and enthusiasts for its historical significance and timeless design.","dark green with black roof, Italian Postal Service sticker on front doors,Brumm model"
9,,VW,"Beetle (a.k.a. Bug)
(Type 1)",1938,2003,"21,529,464","The Volkswagen Beetle—officially the Volkswagen Type 1,[a] is an economy car that was built by the German company Volkswagen (VW) from 1938 until 2003.[7] It has a rear-engine design with a two-door body style and is intended for five occupants (later, Beetles were restricted to four people in some countries).[8][9][10]

The need for a people's car (Volkswagen in German), its concept and its functional objectives were formulated by the leader of Nazi Germany, Adolf Hitler, who wanted a cheap, simple car to be mass-produced for his country's new road network (Reichsautobahn). Members of the National Socialist party, with an additional dues surcharge, were promised the first production, but the Spanish Civil War shifted most production resources to military vehicles to support the Nationalists under Francisco Franco.

Lead engineer Ferdinand Porsche and his team took until 1938 to finalise the design. Béla Barényi[11] is credited with conceiving the original basic design for this car in 1925, notably by Mercedes-Benz, on their website, including his original technical drawing,[12][13] five years before Porsche claimed to have done his initial version.[14] The influence on Porsche's design of other contemporary cars, such as the Tatra V570, and the work of Josef Ganz remains a subject of dispute.[15] The result was the first Volkswagen, and one of the first rear-engined cars since the Brass Era. With 21,529,464 produced,[16] the Beetle is the longest-running and most-manufactured car of a single platform ever made.

Although designed in the 1930s, due to World War II, civilian Beetles only began to be produced in significant numbers by the end of the 1940s. The car was then internally designated the Volkswagen Type 1, and marketed simply as the Volkswagen. Later models were designated Volkswagen 1200, 1300, 1500, 1302, or 1303, the first three indicating engine displacement, the last two derived from the model number.

The car became widely known in its home country as the Käfer (German for ""beetle"", cognate with English chafer) and was later marketed under that name in Germany,[17] and as the Volkswagen in other countries. For example, in France it was known as the Coccinelle (French for ladybug).",several of them are in the collection
9,,Mercedes Benz,W154,1938,1939,16,"The Mercedes-Benz W154 was a Grand Prix racing car designed by Rudolf Uhlenhaut. The W154 competed in the 1938 and 1939 Grand Prix seasons and was used by Rudolf Caracciola to win the 1938 European Championship.

The W154 was created as a result of a rule change by the sports governing body AIACR, which limited supercharged engine capacities to 3000cc. Mercedes' previous car, the supercharged 5700cc W125, was therefore ineligible. The company decided that a new car based on the chassis of the W125 and designed to comply with the new regulations would be preferable to modifying the existing car.

Although using the same chassis design as the 1938 car, a different body was used for the 1939 season and the M154 engine used during 1938 was replaced by the M163. As a result of the new engine, the 1939 car is often mistakenly referred to as a Mercedes-Benz W163.

For the 1938 season, Grand Prix racing's governing body AIACR moved from a formula limited by weight to one by engine capacity. The new regulations allowed a maximum capacity of 3000cc with a supercharger or 4500cc without. This meant Mercedes-Benz's previous car, the supercharged 5700cc W125, was ineligible to continue. Its new car was based on the W125 chassis, with a supercharged 3000cc engine determined after both types had been tested.",Silver car with racing # 12
13,,Ford,"Anglia
(105E)
(4th Generation)",1959,1967,"1,004,737","The fourth generation Ford Anglia, also known as the Ford Anglia 105E, was a compact car produced by Ford of Britain from 1959 to 1968. It represented a significant departure from its predecessors in terms of design and engineering.

The fourth-generation Ford Anglia was introduced in September 1959 as a successor to the third-generation model. It was part of Ford's effort to modernize its lineup and compete in the increasingly competitive compact car market.

The most distinctive feature of the Ford Anglia 105E was its forward-leaning reverse-sloping rear window, which gave it a unique and recognizable appearance. This styling element, along with its rounded contours, set it apart from other cars of its time and contributed to its popularity.

The Anglia 105E featured a unitized body construction (unibody), independent front suspension with MacPherson struts, and a live rear axle with semi-elliptic leaf springs. These features provided a balance of comfort and handling suitable for daily driving.

The Anglia 105E was initially powered by a 997cc inline-four engine, which was later upgraded to a 1,198cc engine. These engines provided adequate performance for city driving and highway cruising, making the Anglia a practical and versatile choice for motorists.

The Ford Anglia 105E was available in several trim levels, including the standard model, the De Luxe model, and the Super model. Each trim level offered different levels of equipment and amenities to suit the preferences of buyers.

Production of the Ford Anglia 105E continued until 1968. It was eventually replaced by the Ford Escort, which represented another leap forward in Ford's compact car lineup.

The Ford Anglia 105E became a cultural icon in Britain and beyond, thanks in part to its appearances in popular media, including the Harry Potter film series, where a modified version known as the ""Flying Ford Anglia"" plays a significant role.

Overall, the fourth-generation Ford Anglia 105E is remembered for its distinctive design, practicality, and affordability, making it a beloved classic among automotive enthusiasts and collectors.

Family Experience: Auntie Hilda Burrows (Maternal Auntie to Sue Short) owned a light blue Anglia which she later gave to her daughter, Mary Burrows. As a very young boy (~ 7yrs) whilst on holiday with our UK family, Mary sat me on her lap and let me steer whilst she worked the pedals and gear shift!!!!",
9,,Dodge,V-Series Truck,1939,1941,"82,400","The Dodge V-Series trucks were a line of commercial vehicles produced by Dodge from the late 1930s to the early 1940s.

The Dodge V-Series trucks were introduced in 1939 as part of Dodge's lineup of commercial vehicles. They were designed to meet the needs of businesses and industries requiring robust and reliable trucks for various purposes, including hauling cargo, transporting goods, and performing heavy-duty tasks.

The V-Series trucks were built on a sturdy frame with a rugged suspension system, allowing them to handle heavy loads and rough terrain. They were available in various configurations, including pickup trucks, flatbed trucks, stake trucks, and panel vans, catering to different business needs.

The Dodge V-Series trucks were typically powered by inline-six cylinder engines, known for their durability and torque. These engines were paired with manual transmissions, providing ample power and control for various tasks.

The V-Series trucks were valued for their utility and versatility, making them popular choices among businesses, farmers, contractors, and government agencies. They were used for a wide range of applications, including agriculture, construction, transportation, and delivery.

During World War II, the Dodge V-Series trucks played a crucial role in supporting the war effort. Many were requisitioned by the military and used for logistics, transportation, and other wartime activities. Their rugged construction and reliable performance made them indispensable in military operations.

Production of the Dodge V-Series trucks ceased after the United States entered World War II, as civilian vehicle production was halted in favor of military production. After the war, Dodge shifted its focus to producing vehicles for civilian use, and the V-Series trucks were eventually replaced by newer models.

Overall, the Dodge V-Series trucks were rugged, reliable workhorses that played an important role in supporting industries and communities during a period of economic and social change. They remain an important part of Dodge's history and legacy in the commercial vehicle market.",
10,,Ferrari,1940's Ferrari Prova ('Prototype'),1940,1949,,"""Prova"" is an Italian term that translates to ""test"" or ""prototype,"" so it's possible that it could refer to various prototype or test vehicles produced by Ferrari over the years for development purposes.

During the 1940s, Ferrari was primarily focused on building race cars and sports cars for competitions such as the Mille Miglia and the 24 Hours of Le Mans. Some of the notable models from that era include the Ferrari 125 S, the company's first car built in 1947, as well as later models like the Ferrari 166 MM, the Ferrari 212, and the Ferrari 340 America.",Red convertible with rear license plate 'Prova No 18'
